Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s),Aux_Temperature_1,Aux_Temperature_2
1,"10,0044","06-21-2018 09:23:28,165","10,0043",1,1,0,"3,01583003997803",0,0,0,0,,,"-1,81198120117188E-05",,"34,2058601379395","34,9517059326172"
2,"20,0061","06-21-2018 09:23:38,167","20,006",1,1,0,"3,01591205596924",0,0,0,0,,,"-2,86102294921875E-06",,"34,2058601379395","34,7642288208008"
3,"30,0055","06-21-2018 09:23:48,166","30,0054",1,1,0,"3,01596164703369",0,0,0,0,,,"-0,0000152587890625",,"33,9081611633301","34,9750633239746"
4,"40,0057","06-21-2018 09:23:58,166","40,0056",1,1,0,"3,01604080200195",0,0,0,0,,,"0,0000457763671875",,"34,1189002990723","34,9178314208984"
5,"50,0012","06-21-2018 09:24:08,162","50,0011",1,1,0,"3,0160665512085",0,0,0,0,,,"-6,38961791992188E-05",,"34,3374519348145","34,8032531738281"
6,"60,003","06-21-2018 09:24:18,164","60,0029",1,1,0,"3,0161828994751",0,0,0,0,,,"3,14712524414063E-05",,"34,4063835144043","34,8733634948731"
7,"60,0084","06-21-2018 09:24:18,169","60,0083",1,1,0,"3,01619434356689",0,0,0,0,,,"2,82526016235352E-05",,"34,4395637512207","34,8733634948731"
8,"60,1086","06-21-2018 09:24:18,269","0,0083",2,1,"1,4995174407959","3,1325159072876",0,0,0,0,,,"-3,14712524414063E-05",,"34,4424015721322","34,8765324783881"
9,"60,5653","06-21-2018 09:24:18,726","0,465",2,1,"1,49995994567871","3,14252281188965","0,00018992884005457",0,"0,000597549409111014",0,,,"0,00105414214774396",,"34,4546862433195","34,893419706181"
10,"62,3573","06-21-2018 09:24:20,518","2,257",2,1,"1,49994468688965","3,15256595611572","0,000935171847231686",0,"0,00294221448712051",0,,,"0,00531387329101563",,"34,5180113427485","34,8275981486853"
11,"64,7934","06-21-2018 09:24:22,954","4,6931",2,1,"1,49995040893555","3,16256618499756","0,00195312732830644",0,"0,00615661591291428",0,,,"0,00404262542724609",,"34,5266895674696","34,8981590270996"
12,"67,4061","06-21-2018 09:24:25,567","7,3058",2,1,"1,49994468688965","3,17257976531982","0,00303867179900408",0,"0,0095951734110713",0,,,"0,00398349761962891",,"34,544675508828","34,8730083309275"
13,"70,2334","06-21-2018 09:24:28,394","10,1331",2,1,"1,49989700317383","3,1826114654541","0,00421558506786823",0,"0,0133350100368261",0,,,"0,00351810455322266",,"34,4822997854126","34,8206411294973"
14,"73,2454","06-21-2018 09:24:31,406","13,1451",2,1,"1,49995613098145","3,19263076782227","0,00547444773837924",0,"0,0173478741198778",0,,,"0,00340366363525391",,"34,5266899436669","34,9131278991699"
15,"76,4215","06-21-2018 09:24:34,582","16,3212",2,1,"1,49989891052246","3,20264530181885","0,00679974490776658",0,"0,0215856470167637",0,,,"0,00340652465820313",,"34,5565924140186","34,9312934875488"
16,"79,7439","06-21-2018 09:24:37,905","19,6436",2,1,"1,49990463256836","3,21268081665039","0,0081739230081439",0,"0,0259935166686773",0,,,"0,00313186645507813",,"34,5245956964439","34,9754600524902"
17,"83,2929","06-21-2018 09:24:41,454","23,1926",2,1,"1,49991798400879","3,22269916534424","0,00965241901576519",0,"0,0307508297264576",0,,,"0,00297927856445313",,"34,504768371582","34,9670715332031"
18,"87,0218","06-21-2018 09:24:45,183","26,9215",2,1,"1,49992752075195","3,23270130157471","0,0112088844180107",0,"0,0357747972011566",0,,,"0,00260257720947266",,"34,5440205537976","34,9775772094727"
19,"91,0236","06-21-2018 09:24:49,184","30,9233",2,1,"1,49991989135742","3,24271202087402","0,0128745343536139",0,"0,0411676056683064",0,,,"0,00260066986083984",,"34,5288308088681","35,005615234375"
20,"95,1739","06-21-2018 09:24:53,335","35,0736",2,1,"1,49998092651367","3,25271701812744","0,0146044148132205",0,"0,0467858836054802",0,,,"0,00242900848388672",,"34,520622253418","34,9032592773438"
21,"99,5418","06-21-2018 09:24:57,702","39,4415",2,1,"1,49994277954102","3,26272487640381","0,0164229907095432",0,"0,0527101866900921",0,,,"0,00243663787841797",,"34,5613288879395","34,9312934875488"
22,"104,2596","06-21-2018 09:25:02,420","44,1593",2,1,"1,49994850158691","3,27272987365723","0,0183967687189579",0,"0,0591600090265274",0,,,"0,00220775604248047",,"34,5631751622818","34,9114723205566"
23,"109,0542","06-21-2018 09:25:07,215","48,9539",2,1,"1,49992942810059","3,28273963928223","0,0203903447836638",0,"0,0656947493553162",0,,,"0,00203800201416016",,"34,5491561889648","34,9593315124512"
24,"114,171","06-21-2018 09:25:12,332","54,0707",2,1,"1,49991416931152","3,29274368286133","0,0225252974778414",0,"0,0727137625217438",0,,,"0,00210857391357422",,"34,5391084727344","34,8754920959473"
25,"119,4575","06-21-2018 09:25:17,618","59,3572",2,1,"1,49993515014648","3,30275440216064","0,0247254110872746",0,"0,0799694210290909",0,,,"0,00191402435302734",,"34,5351409912109","35,021484375"
26,"124,9544","06-21-2018 09:25:23,115","64,8541",2,1,"1,49994277954102","3,31277084350586","0,0270168092101812",0,"0,0875488445162773",0,,,"0,00182914733886719",,"34,5059318542481","34,9834022521973"
27,"130,6682","06-21-2018 09:25:28,829","70,5679",2,1,"1,49991989135742","3,32277965545654","0,0293879974633455",0,"0,0954161211848259",0,,,"0,00172233581542969",,"34,5269584655762","34,9754600524902"
28,"136,7314","06-21-2018 09:25:34,892","76,6311",2,1,"1,49990653991699","3,33278656005859","0,0319215692579746",0,"0,103847362101078",0,,,"0,00155448913574219",,"34,5087280273438","34,964714050293"
29,"142,9979","06-21-2018 09:25:41,159","82,8976",2,1,"1,49992561340332","3,34278678894043","0,0345368534326553",0,"0,112576648592949",0,,,"0,00168514251708984",,"34,5092277526856","34,960750579834"
30,"149,4454","06-21-2018 09:25:47,606","89,3451",2,1,"1,49992942810059","3,35279083251953","0,037220411002636",0,"0,121560797095299",0,,,"0,00149726867675781",,"34,5150604248047","34,9785041809082"
31,"156,2174","06-21-2018 09:25:54,378","96,1171",2,1,"1,49994277954102","3,36279487609863","0,040042869746685",0,"0,131037890911102",0,,,"0,00162029266357422",,"34,5783567618561","33,0683975219727"
32,"163,0759","06-21-2018 09:26:01,237","102,9756",2,1,"1,49996948242188","3,3727970123291","0,0428991205990315",0,"0,140657424926758",0,,,"0,00148868560791016",,"34,5451922673889","34,0466499328613"
33,"170,2448","06-21-2018 09:26:08,406","110,1445",2,1,"1,49992561340332","3,38280487060547","0,0458829328417778",0,"0,150736376643181",0,,,"0,00140285491943359",,"34,5117721557617","34,9616775512695"
34,"177,8393","06-21-2018 09:26:16,000","117,739",2,1,"1,49993896484375","3,39281368255615","0,0490451343357563",0,"0,161449372768402",0,,,"0,00131416320800781",,"34,5820960998535","34,9245147705078"
35,"185,6786","06-21-2018 09:26:23,839","125,5783",2,1,"1,49991989135742","3,40282821655273","0,0523102954030037",0,"0,172543898224831",0,,,"0,00134849548339844",,"34,5348974526633","34,7457733154297"
36,"193,9429","06-21-2018 09:26:32,104","133,8426",2,1,"1,49994659423828","3,41282939910889","0,0557577461004257",0,"0,184292480349541",0,,,"0,00115108489990234",,"34,5701829754019","33,8504409790039"
37,"202,3904","06-21-2018 09:26:40,551","142,2901",2,1,"1,49991989135742","3,42283916473389","0,0592742599546909",0,"0,196311339735985",0,,,"0,0012359619140625",,"34,5407295227051","34,9927520751953"
38,"211,4103","06-21-2018 09:26:49,571","151,31",2,1,"1,49994659423828","3,43284130096436","0,0630329996347427",0,"0,209195822477341",0,,,"0,00114822387695313",,"34,5769348144531","35,0217399597168"
39,"220,7105","06-21-2018 09:26:58,871","160,6102",2,1,"1,49992179870605","3,4428539276123","0,0669057667255402",0,"0,222509980201721",0,,,"0,00107002258300781",,"34,5839461526382","34,9815444946289"
40,"230,421","06-21-2018 09:27:08,582","170,3207",2,1,"1,49992179870605","3,45285701751709","0,0709536373615265",0,"0,23646679520607",0,,,"0,00104236602783203",,"34,5486567516526","34,9334106445313"
41,"240,4252","06-21-2018 09:27:18,586","180,3249",2,1,"1,49994850158691","3,46267604827881","0,0751297995448113",0,"0,250907093286514",0,,,"0,00104141235351563",,"34,5657119750977","34,9875984191895"
42,"250,4293","06-21-2018 09:27:28,590","190,329",2,1,"1,49995803833008","3,47212409973145","0,0792879015207291",0,"0,26532506942749",0,,,"0,000929832458496094",,"34,6138420104981","35,0838584899902"
43,"260,4343","06-21-2018 09:27:38,595","200,334",2,1,"1,49996185302734","3,48110008239746","0,083463080227375",0,"0,279840767383575",0,,,"0,00086212158203125",,"34,5734252929688","35,0525550842285"
44,"270,436","06-21-2018 09:27:48,597","210,3357",2,1,"1,49995613098145","3,48919582366943","0,087624654173851",0,"0,294344574213028",0,,,"0,000825881958007813",,"34,5876884460449","34,9983787536621"
45,"280,4386","06-21-2018 09:27:58,599","220,3383",2,1,"1,49992752075195","3,49691009521484","0,0917980372905731",0,"0,308922678232193",0,,,"0,000754356384277344",,"34,5977096557617","35,0044250488281"
46,"290,4395","06-21-2018 09:28:08,600","230,3392",2,1,"1,49996376037598","3,50418281555176","0,0959617644548416",0,"0,323498249053955",0,,,"0,000696182250976563",,"34,5981330829243","35,0152015686035"
47,"300,4413","06-21-2018 09:28:18,602","240,341",2,1,"1,49993896484375","3,51076507568359","0,100128963589668",0,"0,338114440441132",0,,,"0,000687599182128906",,"34,6142729056844","35,0137786865234"
48,"310,4494","06-21-2018 09:28:28,610","250,3491",2,1,"1,49992179870605","3,51680469512939","0,104293741285801",0,"0,352748513221741",0,,,"0,000655174255371094",,"34,62060546875","35,0315361022949"
49,"320,4505","06-21-2018 09:28:38,611","260,3502",2,1,"1,49993133544922","3,52267551422119","0,108466766774654",0,"0,367436289787293",0,,,"0,000714302062988281",,"34,6519161908335","35,0637969970703"
50,"330,4514","06-21-2018 09:28:48,612","270,3511",2,1,"1,49991416931152","3,52818298339844","0,112633235752583",0,"0,382124900817871",0,,,"0,000582695007324219",,"34,6422996520996","35,0296440124512"
51,"340,4577","06-21-2018 09:28:58,618","280,3574",2,1,"1,49991416931152","3,53336811065674","0,116805337369442",0,"0,396855622529984",0,,,"0,000607490539550781",,"34,672416386034","35,0637969970703"
52,"350,458","06-21-2018 09:29:08,619","290,3577",2,1,"1,49995040893555","3,53834438323975","0,120970740914345",0,"0,411584109067917",0,,,"0,000516891479492188",,"34,6736068725586","34,9953346252441"
53,"360,462","06-21-2018 09:29:18,623","300,3617",2,1,"1,49995040893555","3,54319190979004","0,125136941671371",0,"0,42633593082428",0,,,"0,00046539306640625",,"34,6614724418524","34,9983787536621"
54,"370,4695","06-21-2018 09:29:28,630","310,3692",2,1,"1,49994659423828","3,54758739471436","0,129306450486183",0,"0,441118836402893",0,,,"0,000437736511230469",,"34,7079696655273","35,0555953979492"
55,"380,4761","06-21-2018 09:29:38,637","320,3758",2,1,"1,49994850158691","3,55186557769775","0,133479580283165",0,"0,455932140350342",0,,,"0,000470161437988281",,"34,7305755615234","35,0537109375"
56,"390,481","06-21-2018 09:29:48,642","330,3807",2,1,"1,49991989135742","3,55594539642334","0,137648984789848",0,"0,47074967622757",0,,,"0,0004730224609375",,"34,4000620498543","34,9927520751953"
57,"400,4835","06-21-2018 09:29:58,644","340,3832",2,1,"1,49991035461426","3,56045341491699","0,141809314489365",0,"0,485552728176117",0,,,"0,000162124633789063",,"33,9484178530544","35,0368919372559"
58,"410,4878","06-21-2018 09:30:08,649","350,3875",2,1,"1,49998092651367","3,56445217132568","0,145976468920708",0,"0,500396966934204",0,,,"0,000806808471679688",,"33,6939086914063","32,1967544555664"
59,"420,4959","06-21-2018 09:30:18,657","360,3956",2,1,"1,49992942810059","3,56800365447998","0,150141283869743",0,"0,515249490737915",0,,,"0,000378608703613281",,"33,8693791976428","34,9577102661133"
60,"430,4976","06-21-2018 09:30:28,658","370,3973",2,1,"1,49992370605469","3,57150363922119","0,154320433735847",0,"0,530168116092682",0,,,"0,00030517578125",,"34,1067161560059","33,979190826416"
61,"440,5018","06-21-2018 09:30:38,662","380,4015",2,1,"1,49991989135742","3,57459354400635","0,158489555120468",0,"0,545064747333527",0,,,"0,000347137451171875",,"34,4227485656738","34,6665115356445"
