Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s),Aux_Temperature_1,Aux_Temperature_2
28,"186,6457","07-12-2018 08:38:16,413","126,5515",2,1,"1,49995040893555","3,46796894073486","0,0527073964476585",0,"0,17873740196228",0,,,"0,000893592834472656",,"34,1501808166504","34,57958984375"
29,"196,6474","07-12-2018 08:38:26,414","136,5532",2,1,"1,50019454956055","3,47707939147949","0,0568734705448151",0,"0,193204313516617",0,,,"0,000935554504394531",,"34,1742742036872","34,5536158297644"
30,"206,6502","07-12-2018 08:38:36,417","146,556",2,1,"1,49983978271484","3,48545932769775","0,0610386393964291",0,"0,207704469561577",0,,,"0,000849723815917969",,"34,114875793457","34,5054702758789"
31,"216,6538","07-12-2018 08:38:46,421","156,5596",2,1,"1,4998779296875","3,4932861328125","0,0652043148875237",0,"0,22224023938179",0,,,"0,000758171081542969",,"34,1090278625488","34,526741027832"
32,"226,655","07-12-2018 08:38:56,422","166,5608",2,1,"1,49992179870605","3,50039768218994","0,0693707689642906",0,"0,236809849739075",0,,,"0,000687599182128906",,"34,1494789123535","34,4385490417481"
33,"236,6565","07-12-2018 08:39:06,423","176,5623",2,1,"1,49987983703613","3,50700569152832","0,0735365971922875",0,"0,251405835151672",0,,,"0,000631332397460938",,"34,1543960571289","34,547779083252"
34,"246,6577","07-12-2018 08:39:16,425","186,5635",2,1,"1,50015258789063","3,51317501068115","0,0777013599872589",0,"0,266024619340897",0,,,"0,000658035278320313",,"34,1927562692759","34,4334182739258"
35,"256,6589","07-12-2018 08:39:26,426","196,5647",2,1,"1,49982452392578","3,51898288726807","0,0818677023053169",0,"0,280673980712891",0,,,"0,000560760498046875",,"34,1845471228428","34,5346832275391"
36,"266,6605","07-12-2018 08:39:36,427","206,5663",2,1,"1,49978065490723","3,52449131011963","0,0860327407717705",0,"0,295342326164246",0,,,"0,000524520874023438",,"34,1723937988281","34,4334182739258"
37,"276,6623","07-12-2018 08:39:46,429","216,5681",2,1,"1,50012397766113","3,52970886230469","0,0901984423398972",0,"0,310035318136215",0,,,"0,000507354736328125",,"34,1906354987682","34,4818262982334"
